account_tenure_days,customer_age,kyc_verified,is_vip_tier,num_deposit_methods_used,num_withdrawal_methods_used,deposit_count_30d,withdrawal_count_30d,total_deposit_amount_30d,total_withdrawal_amount_30d,avg_bet_size,num_devices_used_30d,num_distinct_ip_countries_30d,pct_deposits_near_reporting_threshold,median_hours_deposit_to_withdrawal,cross_border_payment_flag,night_time_transaction_pct,is_suspicious_activity
97,54,1,1,4,1,10,4,1101.3,277.82,30.34,2,2,0.073,43.8,0,0.302,0
394,35,1,0,3,3,7,2,81.65,43.17,12.69,1,2,0.106,4.9,0,0.416,0
114,65,1,0,3,1,5,4,72.37,19.14,29.29,2,1,0.02,45.7,0,0.51,0
646,23,1,0,3,1,8,6,361.99,56.48,19.81,1,1,0.038,45.1,0,0.125,0
185,57,1,0,2,3,17,6,63.22,15.29,20.54,2,2,0.116,47.8,0,0.052,0
312,31,1,0,2,1,8,3,316.72,169.15,26.25,4,1,0.094,51.5,0,0.402,0
211,48,1,0,4,1,5,3,520.48,90.27,181.42,2,2,0.303,109.4,0,0.305,0
301,34,1,0,4,2,12,5,88.81,1.94,88.08,4,1,0.13,66.8,1,0.335,1
189,39,1,0,2,2,13,6,91.99,14.52,12.05,3,1,0.299,46.2,0,0.252,0
245,45,1,1,1,3,6,3,43.44,16.06,41.72,3,1,0.267,46.5,0,0.485,0
11,31,1,0,6,2,7,3,1038.59,297.62,33.79,3,1,0.174,64.0,0,0.006,0
635,48,1,0,1,5,4,3,173.7,74.99,35.42,3,1,0.361,31.0,0,0.135,0
1004,35,1,0,3,1,6,2,203.78,59.98,3.78,2,2,0.202,32.9,0,0.137,0
232,40,1,0,3,3,10,2,681.6,192.27,15.23,2,1,0.202,26.2,0,0.113,0
1362,18,1,0,2,2,8,4,47.68,7.58,148.16,3,2,0.338,75.9,0,0.258,0
67,34,1,0,2,2,6,2,358.45,93.12,12.81,3,1,0.149,24.1,0,0.107,0
1114,53,1,0,1,3,7,6,1453.73,284.78,8.26,1,3,0.175,36.5,0,0.279,0
146,46,1,0,1,5,11,3,207.34,62.69,111.37,2,1,0.17,94.0,1,0.114,0
267,49,1,0,2,1,8,3,200.81,25.51,6.5,5,1,0.077,70.2,0,0.479,0
975,39,1,0,2,3,4,6,152.53,28.86,16.0,3,2,0.024,87.5,0,0.347,0
51,58,1,0,3,3,11,5,89.05,29.97,5.31,1,1,0.14,27.0,0,0.398,0
76,41,1,0,1,2,9,2,106.66,34.93,26.46,3,2,0.03,52.5,0,0.02,0
537,30,1,0,1,1,9,4,36.4,12.76,47.44,2,1,0.423,25.0,0,0.16,0
393,48,1,0,2,3,5,6,660.92,456.54,33.7,5,2,0.019,63.4,0,0.128,0
115,49,1,1,1,2,5,8,373.76,107.27,45.51,3,1,0.002,74.8,0,0.145,0
177,46,1,0,3,3,13,1,531.16,205.04,14.78,1,1,0.051,41.6,0,0.549,0
300,33,1,0,6,1,7,2,853.72,135.32,42.91,2,1,0.144,119.1,0,0.389,0
760,41,1,0,3,4,10,2,283.23,75.0,15.54,2,1,0.017,21.7,1,0.259,0
143,55,1,0,3,5,11,1,114.52,16.33,34.06,3,1,0.309,10.9,0,0.564,0
306,44,1,0,4,2,11,5,43.69,12.52,67.73,3,1,0.272,61.8,0,0.245,0
142,20,1,0,1,3,9,8,2950.1,490.14,26.67,2,1,0.212,63.1,0,0.202,0
122,30,1,0,3,2,7,5,257.8,151.59,7.92,4,2,0.314,47.5,0,0.204,0
853,30,1,0,2,2,10,5,147.27,63.04,10.19,1,1,0.349,63.9,0,0.153,0
223,29,1,0,2,1,7,2,269.3,150.08,8.81,2,1,0.028,15.2,0,0.207,0
536,18,1,0,2,2,6,3,279.55,83.86,90.05,1,1,0.194,57.1,0,0.142,0
121,61,1,0,5,2,5,8,189.04,2.55,32.93,1,1,0.279,24.8,0,0.302,0
74,27,1,0,4,3,10,4,756.59,592.69,27.77,1,1,0.165,45.7,0,0.364,0
457,28,1,0,3,1,9,5,369.89,303.56,14.56,3,2,0.269,25.0,0,0.105,0
567,18,1,0,4,4,10,5,1824.2,981.32,61.96,2,1,0.217,26.7,0,0.296,0
380,48,1,0,3,2,13,4,261.31,197.41,30.36,3,3,0.287,54.9,0,0.436,0
475,37,1,0,1,4,11,3,117.13,71.37,29.46,1,1,0.198,55.3,0,0.461,0
408,34,1,0,2,4,4,4,113.27,33.44,52.8,1,1,0.205,63.5,0,0.215,0
437,34,1,0,3,2,6,5,1473.03,1176.2,11.79,1,1,0.202,100.5,0,0.43,0
902,45,1,0,2,3,13,8,183.64,76.39,4.76,3,2,0.224,37.6,0,0.457,0
1129,32,1,0,1,2,5,6,77.16,7.2,10.7,3,2,0.178,31.7,0,0.219,0
265,18,1,0,3,5,13,3,184.47,111.89,39.87,4,1,0.125,84.1,0,0.322,0
36,23,1,0,2,7,13,2,750.18,338.99,20.9,3,1,0.019,71.4,0,0.202,0
561,22,1,0,2,2,3,5,89.11,8.39,16.24,2,1,0.104,53.3,0,0.336,0
338,41,1,0,2,2,8,3,158.44,100.0,27.29,2,2,0.146,32.3,0,0.083,0
976,49,1,0,1,1,8,6,1687.6,1099.92,32.5,2,2,0.254,18.2,0,0.077,0
418,56,1,0,1,2,6,4,1502.9,651.1,41.27,3,1,0.242,47.0,0,0.158,0
56,18,1,0,5,2,6,11,236.08,152.84,36.35,1,2,0.121,29.7,0,0.255,0
420,45,1,0,2,1,12,3,447.37,283.24,12.98,2,1,0.354,24.1,1,0.493,0
229,31,0,0,3,2,9,2,121.41,15.27,13.63,4,1,0.213,71.6,0,0.381,1
46,73,1,0,1,3,3,5,454.38,233.36,18.04,3,2,0.176,32.7,0,0.151,0
110,55,1,0,1,2,14,2,904.66,227.77,9.08,1,1,0.316,68.7,0,0.466,0
1390,58,1,0,1,1,10,3,220.27,156.06,45.6,4,1,0.29,34.6,1,0.127,0
161,48,1,0,3,1,8,7,245.53,155.83,57.68,4,1,0.103,107.1,0,0.111,0
103,43,1,0,1,2,10,3,162.89,51.01,40.64,2,1,0.076,44.6,0,0.357,0
178,33,1,0,4,2,5,10,484.5,71.33,39.56,2,1,0.038,22.3,0,0.492,0
827,31,1,0,2,1,9,3,339.16,200.12,2.83,3,1,0.21,33.5,0,0.103,0
436,28,1,0,2,2,10,4,180.89,44.21,16.36,3,1,0.226,82.0,0,0.257,0
79,45,1,0,1,3,10,3,1238.21,289.4,13.51,5,3,0.12,49.9,0,0.442,0
3,57,1,1,2,2,9,1,235.33,57.04,25.06,4,1,0.064,95.0,0,0.142,0
175,34,1,0,1,3,11,9,164.98,28.22,58.38,2,1,0.036,42.7,0,0.371,0
60,29,1,0,1,3,11,7,239.47,62.51,7.98,4,1,0.075,37.9,0,0.251,0
827,20,1,1,1,1,5,9,366.24,175.56,35.65,1,1,0.216,38.8,0,0.179,0
43,41,1,0,1,2,9,5,299.45,37.27,21.78,2,1,0.046,34.5,0,0.359,0
274,53,1,0,3,3,8,2,453.7,200.72,37.07,2,1,0.19,30.8,0,0.138,0
407,53,0,0,3,1,12,6,394.94,248.54,61.19,2,1,0.054,79.0,0,0.185,0
1148,55,1,0,1,3,10,3,380.22,106.8,28.81,2,1,0.198,47.5,0,0.205,0
116,43,1,0,1,3,5,5,486.9,317.35,15.0,2,1,0.114,94.7,0,0.711,0
694,39,1,0,4,5,11,4,185.48,99.06,6.26,1,1,0.088,57.5,0,0.115,0
305,53,1,1,2,2,7,2,135.09,52.27,54.02,3,1,0.047,23.3,0,0.423,0
692,25,1,0,3,1,3,6,91.55,26.84,22.83,2,2,0.009,55.8,0,0.132,0
143,33,1,0,2,4,6,3,196.32,66.5,13.23,1,1,0.077,34.9,1,0.407,0
133,59,1,0,4,2,9,4,1927.83,508.57,24.76,1,2,0.418,39.9,0,0.41,0
101,25,1,0,2,2,9,4,380.75,230.23,22.72,2,2,0.186,50.5,0,0.298,0
418,38,1,0,2,1,8,4,534.89,216.76,95.2,3,1,0.029,29.4,0,0.315,0
260,46,1,0,2,2,5,1,672.98,70.06,25.05,1,1,0.105,37.3,0,0.449,0
346,39,1,0,2,1,7,2,129.3,56.75,8.96,3,1,0.19,27.9,0,0.322,0
513,52,1,0,2,2,12,2,174.74,40.99,9.15,1,1,0.102,17.7,0,0.019,0
462,56,1,0,3,1,5,2,154.76,70.1,25.02,2,1,0.221,79.9,0,0.228,0
418,44,1,0,1,3,8,3,69.85,13.16,15.08,2,2,0.332,64.4,0,0.391,0
559,55,0,0,3,4,9,4,791.92,693.37,9.31,3,1,0.034,51.0,0,0.093,0
14,27,0,1,3,4,6,4,702.83,83.45,11.18,2,1,0.01,72.9,0,0.076,0
602,36,1,0,2,3,8,3,73.29,47.66,24.71,3,2,0.029,78.6,0,0.326,0
520,67,1,0,3,4,11,5,328.58,64.16,21.19,1,1,0.155,68.3,0,0.016,0
175,61,1,0,2,2,9,4,184.42,49.86,23.19,2,2,0.154,39.9,0,0.323,0
96,23,1,0,2,1,7,4,49.52,8.24,13.35,3,2,0.205,88.0,1,0.249,0
284,38,1,0,2,1,6,5,348.29,88.04,104.15,5,1,0.067,86.2,1,0.286,0
810,40,1,0,2,2,7,3,172.94,92.9,157.81,1,1,0.144,56.3,0,0.178,0
130,43,1,0,4,2,7,2,439.64,170.45,15.81,1,2,0.194,94.2,0,0.328,0
573,53,0,0,6,2,3,2,221.06,88.08,13.61,3,1,0.003,108.0,0,0.184,0
1188,60,0,0,3,3,9,3,20.3,9.94,17.03,1,1,0.009,33.8,0,0.129,0
160,38,1,0,2,2,10,5,1733.28,334.15,16.48,2,2,0.096,77.4,0,0.222,0
1721,51,1,1,3,2,6,1,316.4,155.93,19.52,3,1,0.002,23.3,0,0.272,0
24,46,0,0,2,1,8,3,335.49,131.03,19.43,2,1,0.233,50.8,0,0.343,0
15,38,1,0,2,1,5,8,309.14,119.02,5.87,3,1,0.006,22.5,0,0.005,0
743,18,1,0,1,2,8,5,56.24,39.6,23.83,3,1,0.108,87.5,1,0.025,0
258,50,0,0,2,3,14,2,1180.36,780.64,22.78,3,2,0.187,46.3,1,0.243,0
242,45,1,0,1,4,7,7,394.16,261.57,54.36,4,1,0.09,56.5,0,0.178,0
784,43,1,1,3,2,8,6,300.27,99.69,79.72,2,1,0.032,26.1,0,0.306,0
990,26,1,0,1,2,7,6,83.28,20.21,54.57,1,1,0.182,11.1,0,0.37,0
330,62,1,0,1,4,4,2,338.17,230.13,26.63,3,1,0.071,41.1,0,0.443,0
843,40,1,0,3,1,8,5,239.85,169.05,15.57,2,1,0.048,39.8,0,0.245,0
404,24,1,0,6,1,8,2,131.6,69.38,7.69,1,1,0.276,61.9,0,0.373,0
201,22,1,0,1,2,8,4,34.03,23.39,53.28,1,1,0.07,46.8,1,0.392,0
97,46,1,0,3,2,2,2,63.14,24.78,3.96,3,1,0.272,23.0,0,0.042,0
551,46,1,0,2,4,10,6,1845.8,1163.07,9.87,2,1,0.263,15.2,0,0.141,0
856,32,1,0,2,3,10,5,237.71,177.5,7.42,3,1,0.099,59.1,0,0.533,0
1068,44,1,0,4,1,12,4,454.23,212.89,42.18,2,1,0.304,10.5,0,0.302,0
121,46,1,0,3,3,5,2,221.43,47.38,12.55,1,1,0.03,39.3,0,0.45,0
410,40,0,0,2,1,8,3,125.58,46.94,7.47,4,1,0.046,79.3,0,0.402,0
205,30,1,0,4,1,9,7,216.87,165.56,19.71,2,1,0.052,84.2,0,0.249,0
685,50,1,0,2,3,8,3,874.22,199.46,6.3,2,2,0.012,44.7,0,0.181,0
88,48,1,0,3,2,10,5,79.11,6.95,9.17,1,1,0.034,64.8,0,0.169,0
24,45,0,0,2,2,4,6,369.79,288.6,15.8,3,1,0.073,26.5,0,0.305,0
144,28,0,0,2,2,7,2,308.09,107.63,18.31,1,2,0.338,71.3,0,0.104,0
28,22,1,0,3,3,6,6,76.76,27.73,109.66,2,1,0.437,37.1,0,0.39,0
188,39,1,0,2,2,3,6,63.15,23.64,21.14,2,1,0.503,63.0,0,0.094,0
195,49,1,0,3,3,9,2,162.87,76.35,17.28,3,1,0.092,55.6,0,0.316,0
45,50,1,1,3,1,7,3,947.17,394.01,43.39,2,1,0.199,10.9,0,0.161,0
1235,45,1,1,3,2,9,4,87.4,3.58,37.84,2,1,0.261,35.2,0,0.102,0
121,33,1,0,1,2,10,1,37.04,8.85,56.8,4,1,0.218,103.3,0,0.17,1
479,28,0,0,2,1,9,4,142.02,103.4,76.59,3,1,0.141,17.9,0,0.161,0
80,38,1,0,2,4,7,0,77.81,51.76,80.92,1,1,0.123,47.4,0,0.156,0
204,38,1,0,1,1,7,3,589.37,245.71,14.8,2,2,0.189,34.8,0,0.368,0
36,51,1,0,2,3,10,5,65.16,6.65,4.48,1,1,0.025,41.9,0,0.2,0
47,32,1,0,4,1,6,6,55.18,33.55,13.89,2,1,0.073,74.7,0,0.098,0
4,33,1,0,3,3,7,3,59.89,17.6,22.7,6,2,0.035,49.3,1,0.203,0
646,63,1,0,4,5,6,4,53.16,17.39,53.33,5,1,0.205,24.0,0,0.57,0
142,57,1,1,1,3,9,5,3797.36,2095.73,12.86,1,1,0.011,29.0,0,0.288,0
277,27,1,0,5,2,11,3,159.78,51.94,6.87,1,1,0.209,26.9,1,0.483,0
348,56,1,0,2,2,6,11,62.75,22.08,83.1,1,1,0.354,30.3,0,0.3,0
72,25,1,0,1,3,3,2,82.78,12.66,79.31,3,1,0.171,78.1,0,0.041,0
1173,33,1,1,1,2,12,3,226.48,138.74,41.82,3,1,0.082,78.6,0,0.15,0
219,34,1,0,2,3,9,3,1223.27,852.16,5.85,2,1,0.252,44.4,0,0.173,0
30,37,1,0,1,3,10,4,227.16,48.6,21.34,2,1,0.106,54.3,0,0.267,0
43,45,1,1,1,2,10,2,247.58,127.86,14.27,2,1,0.602,52.1,1,0.477,0
199,39,1,0,1,1,8,3,1348.78,221.03,17.73,2,1,0.059,47.3,0,0.436,0
51,45,1,0,1,1,7,2,120.71,39.11,34.01,5,1,0.073,23.3,0,0.171,0
131,33,1,0,1,3,10,3,240.8,154.51,17.88,1,2,0.263,56.9,1,0.11,0
